intercept,slope,t_stat,r_squared,n_obs,period,date
0.0015081472177259731,0.0006018946728414924,0.5661820362775758,0.00016377598254047054,1959,2024-07-01/2024-07-07,2024-07-01
0.007184423443226602,0.0021003871831291963,1.4978952544460848,0.0008749910165998243,2564,2024-07-08/2024-07-14,2024-07-08
0.00037991012423003946,0.001990768177750456,1.4342652102967834,0.0007491164990569565,2746,2024-07-15/2024-07-21,2024-07-15
0.0003378303599847278,0.001762984904911138,1.236262404943157,0.0004979086563894342,3070,2024-07-22/2024-07-28,2024-07-22
-0.01587364721789547,0.007042118416945493,4.5165054880748166,0.0064321212719881116,3153,2024-07-29/2024-08-04,2024-07-29
0.002537033162854164,0.004043218904090412,2.9660511453646303,0.0030058312947732757,2920,2024-08-05/2024-08-11,2024-08-05
0.00927226122885167,0.0012245187228738226,1.1897702953272749,0.0005634232576505749,2513,2024-08-12/2024-08-18,2024-08-12
0.0017898810640215321,0.0012526892127346155,1.0705182242607612,0.0004806791463356497,2385,2024-08-19/2024-08-25,2024-08-19
-0.005837725169003676,0.0020094348522292633,1.4002797292978484,0.0007674416504090953,2555,2024-08-26/2024-09-01,2024-08-26
-0.0042206111632385815,0.0017471362318232644,1.1555854404419856,0.0005323760618407558,2509,2024-09-02/2024-09-08,2024-09-02
0.0068253527738254315,0.0013235990094936571,1.1121646081548733,0.00048293467533100376,2562,2024-09-09/2024-09-15,2024-09-09
0.0038268412393620585,-1.228315546600721e-05,-0.011996085087241022,5.586414963953956e-08,2578,2024-09-16/2024-09-22,2024-09-16
0.00026782683310490644,0.0017306422066993919,1.7108057399622778,0.0011235848226721634,2604,2024-09-23/2024-09-29,2024-09-23
-0.0021296690715919848,0.0005121178802238929,0.4762613857557406,8.539365141357891e-05,2658,2024-09-30/2024-10-06,2024-09-30
0.00588896264141962,-0.0011167776736920887,-1.1138952066922778,0.00046241192695706257,2684,2024-10-07/2024-10-13,2024-10-07
-0.0023563151907542604,0.001270689338448694,1.2244740410615764,0.0005363394859595472,2796,2024-10-14/2024-10-20,2024-10-14
-0.0007175595844103517,0.0004574123737287456,0.2567301088011965,4.4652713881432327e-05,1478,2024-10-21/2024-10-27,2024-10-21
-0.004809669984610185,0.003114153653441544,1.5469798876021161,0.0016198442356886167,1477,2024-10-28/2024-11-03,2024-10-28
0.009857419320697414,0.002805077467900483,1.2172235967160439,0.0009386446146473215,1579,2024-11-04/2024-11-10,2024-11-04
-0.0045879681666713985,-0.003183701640431215,-1.5337131493188385,0.0017406830669747242,1351,2024-11-11/2024-11-17,2024-11-11
0.011918826012873845,-0.0006781120642811164,-0.32164361117569373,7.41555131756888e-05,1397,2024-11-18/2024-11-24,2024-11-18
0.0014844622393697768,-0.002104980242697264,-1.2946135415111906,0.0012709901378944455,1319,2024-11-25/2024-12-01,2024-11-25
-0.003520648668444881,0.0026369208791509557,1.4961381990892293,0.0013866783678621042,1614,2024-12-02/2024-12-08,2024-12-02
-0.004430692234544837,0.0046517560509118355,3.1083973725333403,0.005762719887531076,1669,2024-12-09/2024-12-15,2024-12-09
-0.0037701407351871385,-0.0026388778406657943,-2.018970208471624,0.00211964591752567,1921,2024-12-16/2024-12-22,2024-12-16
-0.0029318358460659194,0.0006356111560830826,0.6646085206529165,0.0002957627903366067,1495,2024-12-23/2024-12-29,2024-12-23
0.001064400427943791,0.0004972233384527429,0.22130439861166074,0.0001654308606860999,298,2024-12-30/2025-01-05,2024-12-30
